exerciseId,title
768d359d-61f0-42c8-b4e2-b423e3b79ea8,
e8d1b449-5e73-4925-bda7-1a2ac94061dc,
ca155a0e-63bc-4906-9250-14872243654e,
eeefe76d-dd28-40e0-9378-f4a3ad9ef29c,
fe3686e2-9b69-45b9-99f1-f427f51dbeac,
a3d60d61-ce9b-4397-b80a-667aaa28336b,
9aa6aa32-3bd0-4a4a-804c-4e77e0e65023,
6d11f0e5-3874-48de-ade1-f2f7494acd16,
0e18348e-0187-4a41-8a68-08fc73ae5892,
2a2add7c-bec6-4c05-8b76-fd0ea22db939,
b23ea198-5590-48d6-95ae-5f8db686ac44,
47b39e2e-a4c8-4bdf-b6b2-3469d79ba21c,
8fb38655-109c-4def-8618-f6faae2c5d1d,
f611b53c-d627-43df-90dc-8ac8f094be2e,
3174c19e-6e35-4ccb-a925-c7dc89e3745d,
d55ca570-ef4e-4e81-ad73-264aafc318d6,
7930600b-875d-4b6e-b67d-e94783280157,
95a7d87a-0e21-4a84-9c38-40569a05239e,
9a74771a-3a17-44de-98c7-38b057564f63,
0c2b50e8-d3d0-4fe6-8764-c56c45637ccc,
cb6d2119-fb4e-43b1-a12c-52d991cce837,
467eb6da-bab2-4351-b11d-92d9f4753e9a,
8a6177d3-9baa-4eb3-b9f0-19080b1364d3,
33fe0310-8ca6-4121-8858-031cd4e35913,
5f44f972-9cc9-4e50-820f-62940d89d9e5,
b5b0e259-6c89-4f0b-a6cb-ed9bf5cd66db,
f29f5027-0ec6-4c06-9120-6b443efd46b0,
224f2002-ef97-4394-90a8-1d4d4bb432e8,
108d0110-e651-410e-b33d-72863fe474be,
310edfb1-c260-406e-b0e4-7508da2a18e5,
0f19b6f6-ce03-424a-b19a-03dd5e36bdde,
6385dc29-7074-4388-a244-14c1fe5d4cc2,
d04ddb07-c2ca-44de-b0d0-c39074a51a4b,
b42f1fea-ec42-41be-9b5a-cff120eae046,
74bdbb02-c47e-48a6-aea2-dddfbc23af2d,
71902cdf-fe8b-4771-bc50-8b82e4bb9690,
223f94b9-8949-4e82-b6c6-0eedb67207b8,
e6f1b1dd-22bf-4acd-83ca-545b6464f35b,
e1dd74d7-127d-475c-b2ee-88ee7b2b8d29,
8fbea21f-1417-4287-8edd-e602c630e090,
441462e4-d30a-4057-8ad5-3a95a1bc9171,
73d4d52f-a1e9-4fc0-b8c6-c918e4887cdf,
b021b6e5-9f34-40c6-838f-613f8de03101,
44513975-dc15-453a-910c-5ee9ec9da21a,
bba0f26a-f0d8-4462-9967-09e19dad5675,
fa9a5806-8a1a-4eda-8be1-68f4a115d8f6,
6a89325d-ddb3-42d8-bf7d-170401536d85,
2c8d384f-bbd9-4625-b787-1ae0639ce32f,
501f0a3f-33ea-4b56-ba4d-7c55a69e24e7,
406e3e4c-c0fd-427a-bcf7-788d6784d905,
aa2adcfd-889d-4037-8007-8edc0d73e774,
8e7bf0a5-42f3-4668-a789-c804c27e6473,
140062a5-cf21-468a-8507-ab940812545c,
97d34f87-b561-4e21-ab5e-f70710763e1c,
bf9ad878-a240-4c11-b481-d4241402a3ff,
4d1103c9-9f10-4e03-b34d-8b2fddda5889,
0bc1e3e2-e368-4cdf-827a-52cb61fa83d9,
0ecc82fa-6d13-4797-a688-a102a6fee82e,
801afd47-bffe-4550-bd0a-de749cb75590,
